年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,GPS座標X,GPS座標
2016,7,18,7,20,臺南市,永康區,中華里,,小東路,,,,689,,,,,,,,,,,,,,,120.23978,22.99857
2016,7,14,20,40,臺南市,永康區,永康里,,永大路,二,,,,,永大三路,,西,,,,,,,,,,,120.26172,23.01998
2016,7,18,7,40,臺南市,永康區,,,廣興街,,,,,,廣盛街,,,,,,,,,,,,,120.27869,23.0192
2016,7,18,8,40,臺南市,永康區,,,大橋一街,,31,,,,,,,,,,,,,,,,,120.22885,23.01475
2016,7,9,16,0,臺南市,永康區,龍潭里,,龍國街,,131,13,,,龍中街,,,,,,,,,,,,,120.26262,23.03321
2016,7,18,7,50,臺南市,永康區,東橋里,,中正路,,350,,,,,,,,,,,,,,,,,120.24802,23.03214
2016,7,18,17,20,臺南市,永康區,西灣里,,文化路,,,,,,永華路,,,,,,,,,,,,,120.25809,23.01596
2016,7,19,7,5,臺南市,永康區,復興里,,復興路,,,,,,,,,高速公路便道口,,,,,,,,,,120.24753,22.99524
2016,7,18,9,30,臺南市,永康區,西灣里,,永大路,二,,,,,國光六街,,,,,,,,,,,,,120.25962,230..6906
2016,7,18,15,55,臺南市,永康區,,,文賢街,,,,99,,,,,,,,,,,,,,,120.26802,23.00597
2016,7,18,17,50,臺南市,永康區,,,龍橋街,,459,,29,,,,,,,,,,,,,,,120.26179,23.04626
2016,7,1,20,45,臺南市,永康區,五王里,,中華路,,,,,,振興路,,,,,,,,,,,,,120.23029,23.01091
2016,7,19,7,30,臺南市,永康區,,,,,,,,,,,,富強路一段電桿王行高幹106Q0593HA53號,,,,,,,,,,120.27411,23.01715
2016,7,2,11,40,臺南市,永康區,西勢里,,富強路,一,98,,,,富強路,一,,,,,,,,,,,,120.27303,23.01546
2016,7,20,7,40,臺南市,永康區,正強里,,自強路,,,,160,,,,,,,,,,,,,,,120.24971,23.02687
2016,7,18,16,52,臺南市,永康區,,,中華路,,,,,,中央路,,,,,,,,,,,,,120.21603,23.02268
2016,7,18,18,8,臺南市,永康區,鹽行里,,新行街,,,,,,,,,與新行街33巷口,,,,,,,,,,120.24138,23.03905
2016,7,18,17,30,臺南市,永康區,崑山里,,大灣路,,,,,,,,,與大灣路891巷口,,,,,,,,,,120.25487,22.99939
